id,CO2_working_capacity [mL/g]
68614,180.11063796043948
68615,82.17001964173582
68616,62.434578694679054
68617,63.053139647914946
68618,59.40083781425474
68619,68.22093026956753
68620,136.11753253801274
68621,204.24728819995192
68622,71.38151043224144
68623,155.57968071080296
68624,57.7182648891208
68625,66.63132253235158
68626,237.17595007735918
68627,183.8065729036522
68628,98.9853588391504
68629,140.98221032554665
68630,59.929074309950984
68631,57.06933059810869
68632,132.4778633850908
68633,83.57025264896586
68634,204.91697419729778
68635,163.65068163853184
68636,95.57820110458044
68637,87.90874431975536
68638,243.68432781316295
68639,115.37928656966153
68640,116.1810367662654
68641,194.04554013525075
68642,72.17721181147152
68643,78.48421604986729
68644,108.44418318447218
68645,95.51596107013492
68646,261.44467238449243
68647,103.0805725088135
68648,166.76073025306778
68649,68.77314561449793
68650,226.41128855284683
68651,78.75451831373525
68652,87.87769565238244
68653,122.6473513566317
68654,82.66705567475685
68655,96.80901155103221
68656,86.95307182970413
68657,209.5102941633397
68658,58.239854633728044
68659,102.27296092324048
68660,188.42228587218875
68661,139.01606189781324
68662,73.04068066833361
68663,80.95746451974267
68664,81.05443199400324
68665,97.66975296155277
68666,160.35557169642962
68667,78.92344009300925
68668,252.05557289270973
68669,81.87607481827939
68670,263.7351095716006
68671,102.511198458954
68672,75.45069317490629
68673,146.3719267398813
68674,65.39479713201649
68675,75.20097843852398
68676,157.28214722970458
68677,147.2951422176071
68678,160.35458110431432
68679,87.12312699495588
68680,83.49849802964194
68681,110.14480338108471
68682,86.44083475382664
68683,76.10262085502055
68684,95.69852252283773
68685,75.52953626620774
68686,142.17195364682496
68687,80.45945051363634
68688,97.00607675770851
68689,79.63180990870072
68690,119.77183311642612
68691,190.36273010804564
68692,65.48127178816604
68693,215.33964398912008
68694,87.60984115845855
68695,184.63278307338203
68696,49.251303971905145
68697,116.26391461787769
68698,166.26378846472556
68699,58.98508544577213
68700,60.799806710607164
68701,191.55761343545663
68702,103.09423251642706
68703,145.58956499782323
68704,111.91406945894396
68705,88.40419083037014
68706,169.34224874672137
68707,84.36391201838723
68708,112.46460077124843
68709,115.83622833762348
68710,63.36155869045505
68711,139.62828451240134
68712,83.41896463741222
68713,62.97643107269388
68714,55.60311102784202
68715,122.53095956013303
68716,162.8685277780384
68717,75.50565445324145
68718,50.65296798454126
68719,48.09429637976038
68720,187.45971319578553
68721,165.015412210124
68722,163.0708044628777
68723,73.21661727967543
68724,77.8357999629207
68725,93.72801825148946
68726,128.9972845308729
68727,99.24459212634797
68728,129.95972699880332
68729,270.42332141156004
68730,116.99323371871478
68731,172.7554999939548
68732,80.45658918626775
68733,83.24807126088643
68734,102.84548308635794
68735,192.0633041385616
68736,52.226214054961076
68737,124.21712250281458
68738,206.88485922020422
68739,123.01632112291185
68740,222.38658450598632
68741,94.08436103801009
68742,138.5328858182327
68743,83.83831445030471
68744,204.91487538524348
68745,109.81805617490807
68746,102.66711278266716
68747,132.382736923984
68748,82.38303942499971
68749,69.61640596340206
68750,95.68922078065552
68751,242.25686611629789
68752,85.78578486744031
68753,309.1160315992604
68754,138.43833927348464
68755,86.68355980203874
68756,96.47375237061145
68757,302.05301827074413
68758,325.2253001943185
68759,174.70974111715665
68760,144.07784727185089
68761,96.21396722985861
68762,62.717547351583605
68763,79.69838604765094
68764,102.29450426763493
68765,195.90504548494135
68766,54.389051785530725
68767,95.87620227225717
68768,105.92928403423042
68769,61.94360085209162
68770,95.06548951361668
68771,73.7583147451634
68772,63.64114816040998
68773,77.38989417005692
68774,67.65344679322465
68775,81.54878875055981
68776,91.31079091465409
68777,65.92776442920497
68778,62.140395683195855
68779,62.612650973416805
68780,129.28906188928377
68781,76.52423183570275
68782,103.08990437783254
68783,71.61369323340115
68784,88.19341068958086
68785,112.28910572277167
68786,107.46691087875799
68787,418.06005671626576
68788,76.08073265765574
68789,77.20845846067701
68790,275.43959012078454
68791,61.540593678617675
68792,108.0950231421505
68793,92.6139976578531
68794,96.34281606534591
68795,109.59906978898145
68796,84.82552218592073
68797,110.09864690371886
68798,61.577696446778575
68799,71.65681170831853
68800,58.84593976606554
68801,98.37060842685412
68802,118.84082114261362
68803,74.98897541356163
68804,61.62198753757967
68805,61.43856052601093
68806,85.75598605086908
68807,114.03496915699465
68808,64.58504546278557
68809,154.2011336827182
68810,120.15993012506325
68811,162.95852893385444
68812,112.01145935947424
68813,60.98249902680007
68814,90.90103089320792
68815,56.73247084252664
68816,422.6373209409871
68817,89.10452231361205
68818,70.89574126066509
68819,75.02627585733535
68820,186.51355207452505
68821,141.9184511054449
68822,401.61316413160756
68823,79.58017330612435
68824,206.88146048446242
68825,83.480789728157
68826,172.53840345211455
68827,126.88913959122912
68828,60.283418613675984
68829,55.974593553952175
68830,85.4812065760986
68831,148.94216262493464
68832,129.96831153407717
68833,110.96421829161889
68834,72.25140416445424
68835,57.42203995883891
68836,99.5925880020744
68837,61.8580001447974
68838,54.63041918632459
68839,188.00792448782295
68840,54.16187009244362
68841,208.05079593876388
68842,167.03416719850827
68843,86.3152721425403
68844,190.25277238237345
68845,59.33250821553794
68846,70.0541698221262
68847,318.9845759901548
68848,153.55424514227684
68849,112.90537925905318
68850,100.92712882598684
68851,65.3513436633303
68852,69.29807102030645
68853,179.69376342980684
68854,88.31033060191567
68855,76.17778651534123
68856,335.55835769246386
68857,70.55695433997388
68858,102.6522769315527
68859,81.37793736211486
68860,46.92569524053472
68861,59.621105860280196
68862,204.51125278933335
68863,75.23289856639343
68864,163.986222140594
68865,80.30803060464183
68866,92.97465382894006
68867,63.17616122888012
68868,121.78099809541082
68869,73.97256709468007
68870,212.21246640382225
68871,88.60709558717545
68872,158.16477697652505
68873,118.83715967316466
68874,135.8975176946113
68875,151.9639925370472
68876,397.6096173098992
68877,74.7544346444668
68878,71.26986567682223
68879,113.24796590881024
68880,75.8916303566409
68881,61.619413219876435
68882,161.474196593541
68883,83.03512997013539
68884,184.7542149305881
68885,69.75367143769552
68886,133.40711013650215
68887,68.965710461326
68888,62.01820082234717
68889,61.505300265231895
68890,77.18411813536068
68891,221.75830507783894
68892,138.2235841162676
68893,120.72480316234403
68894,363.5953453826088
68895,53.554243834186664
68896,70.97835536117623
68897,90.48668603698752
68898,82.15585007255889
68899,83.1695411197893
68900,93.78606013472499
68901,133.4965263713068
68902,81.20778022940826
68903,152.8575847683328
68904,122.39346165009825
68905,69.5464219560627
68906,134.2517073322128
68907,86.92664942588212
68908,200.9366553492156
68909,165.65369874494627
68910,98.03141199422987
68911,171.38071251129423
68912,239.47843841005533
68913,134.19251683265622
68914,81.78875961169243
68915,78.88279386492478
68916,194.0190979391638
68917,191.1005741845881
68918,69.10839192397279
68919,86.72841915743196
68920,283.3944234407919
68921,128.17490500479866
68922,74.97978311320925
68923,113.5785752087481
68924,282.2364751366698
68925,179.24651668573136
68926,87.46429575013994
68927,76.69806718773867
68928,129.17582940660395
68929,172.13456115614503
68930,62.02949549796902
68931,92.58440635318723
68932,95.18729945856484
68933,175.7462823614683
68934,158.9847366567683
68935,224.38382861072378
68936,95.04064230220837
68937,236.8474054770757
68938,105.32874622074588
68939,244.5835723231501
68940,201.72658059000875
68941,216.3809979941965
68942,128.0347150533529
68943,157.83562577035173
68944,66.55373002680491
68945,67.92104593033247
68946,172.41928337934215
68947,140.30294953758414
68948,85.75456746144147
68949,148.49085405362845
68950,82.73788531804972
68951,166.5381718727734
68952,115.19844142561064
68953,76.60676953950363
68954,89.63986416417131
68955,74.77310289393455
68956,57.61288259827883
68957,343.970271525292
68958,195.56124651752754
68959,93.91693349016275
68960,74.93147314975147
68961,76.94495074291527
68962,78.45617986073799
68963,238.54151437475707
68964,87.45317625939575
68965,78.28750142520306
68966,148.2741993462169
68967,161.21061212323906
68968,133.9811899656363
68969,217.84084188333026
68970,70.54054292358933
68971,42.4459209263824
68972,76.61106945873178
68973,80.85738501042873
68974,183.09171557561197
68975,84.78000709509566
68976,86.02572401163395
68977,152.72990833314205
68978,149.7159444422934
68979,110.52317680141589
68980,75.07904806463878
68981,102.22984683322517
68982,102.38900582131978
68983,90.8923552026728
68984,62.629907054992
68985,52.59266616851299
68986,179.18773499191147
68987,105.54856512896285
68988,126.02990615297645
68989,447.59641652796546
68990,109.72071915729512
